CODIGO,NUMHORASDISC,NOTA,NOTAVS,FREQUENCIA,CODSITDISCIPLINA,IDCARACTERISTICADISCIPLINA,DESCRICAO,ANOSEMESTRE
GMA00108,68,066,,S,E,101,Comum,20102
GAN00167,60,069,,S,E,101,Comum,20111
TCC00165,68,073,,S,E,101,Comum,20121
TCC00173,102,074,,S,E,101,Comum,20121
STA00141,60,081,,S,E,101,Comum,20132
TCC00174,102,045,065,S,E,101,Comum,20141
TCC00220,68,090,,S,,101,Comum,20152
TCC00219,34,100,,S,,101,Comum,20152
SDV00143,68,074,,S,,101,Comum,20162
TCC00300,32,100,,S,,101,Comum,20162
GCI00126,60,078,,S,,101,Comum,20162
GCI00141,60,075,,S,,101,Comum,20171
TCC00226,68,086,,S,,101,Comum,20171
STE00037,60,089,,S,,101,Comum,20172
TCC00336,68,100,,S,,101,Comum,20172
STA00191,60,077,,S,,101,Comum,20172
TCC00224,68,011,,I,,101,Comum,20152
GET00122,68,094,,S,,101,Comum,20152
STA00168,60,092,,S,,101,Comum,20161
TCC00331,68,080,,S,,101,Comum,20161
TCC00224,68,049,060,S,,101,Comum,20161
TCC00222,68,100,,S,,101,Comum,20161
TCC00328,68,044,075,S,,101,Comum,20162
TCC00227,68,069,,S,,101,Comum,20171
TCC00335,68,083,,S,,101,Comum,20171
TCC00225,68,060,,S,,101,Comum,20172
TCC00314,64,000,,I,,101,Comum,20172
GAN00171,68,091,,S,,101,Comum,20152
TCC00287,64,061,,S,,101,Comum,20161
CGI00005,90,,,S,V,103,Atividade Complementar,20172
